address,amount
0xA11Af5EF0116D99D86a93795cf2177888D3f2988,20
0xC474242eD21cE34FF26077335F573A75e9f24806,20
0x430fA4133B4160787cB474ccc9Aa8b3dD6159534,20
0x33f6EE932cEa603Fafd6854827259bE172C91Da4,20
0x28F8eBde32024631972b24e0bCa36dfEF74C6FDe,20
0xb3b72a6593996f3843d5272515B370AEb6Af5db9,20
0x94412243A73df9Fbc3a9648942AA30dF4B7aA833,20
0xBa1347eAB403FAEd265E906634a6D5962D1E68DD,20
0xfbb2460775847413d153a39a5ebaf779187fd973,20
0x2FA2b1B4183BcA2C88d63889B6B84B6C9A1Eb556,20
0x9771D26D87ceC5f0ce708997d28fB2678d603944,20
0x1dd3bd4952b0318cE969FE7bD368F0673EF4cEBD,20
0x6588f5A1F039D7527B180c5041DEC845dDa38575,20
0x16c5E6d8292Ff791832e74fB14f132c15b7EAeF2,20
0x51442BA52a0FF09371853625e01c6d77350820e6,20
0xf6F7dB76660e2c2D0E78F5141Ed66f28b2c36531,20
0x203A3Bdf764BC6b0cD47810cD489Ac41186EC2c7,20
0x94C819Ebc7e35f731a4F27fa39CED25235b621F9,20
0xe078395C2c88A08Db44B5294c4aedE831a1182A0,20
0x58C658E3185072915870153448e893aaC3226aBD,20
0x62aB4d1ece4E0D160b1Df59808E294939D8e0228,20
0x31E69DBD391C66D8764BD915DB8c1D0DD9B2D359,20
0xf4a6d4C2f4688A1773178cF23080c24051f4DCcB,20
0x45093c52b6fE26dff21743eC2b6406b9FaB8fe77,20
0x35fa44C4F6C1b273E3438Ce3Fd360989517c16DA,20
0xEea366d9750bd93AB5166C970f0622a7926f364A,20
0xF79ECde507DAf989f4a49865b9ab670f6C194525,20
0x0982d99f633Dc496FfC1F54d58939B205ECEE64a,20
0xb9f62a4236E5dd8d52617cB76e2D65164EEb7c2C,20
0x221F634D3Ae701e5a7CCaB0B27196E7e015c019C,20
0xB85cF2B69fB3128600329c807ACc84aF5C890051,20
0x7114FDDF2F16A737726267990CCD9937f1d03e9D,20
0x20cb97EbC067bEfc988C5E2FBB198cd9E2c40c93,20
0x2105B29b61E65B6a8411cFA11A41de2cC1A0D4ea,20
0x4c9dBcCf2d089adCA283b628489816c9Acf810c4,20
0xe9bCa6F04Bf3281D2195ce6eF82DA086D20dC744,20
0x0B99191AeA7Af9F54fc4568ab43FF23C16B3e202,20
0x31F67B69fB963D48F07Ba36591B64AbeB25790F7,20
0x6ea7B06d76879E29Bdc72E36614DEF7FDf337c2F,20
